# BUSCO version is: 5.4.2 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
774at6656	Duplicated	TCONS_00029656:195-10682	3554.6	2395	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
774at6656	Duplicated	TCONS_00032272:225-10625	3557.1	2400	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
980at6656	Duplicated	TCONS_00059348:810-9197	2243.0	1597	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
980at6656	Duplicated	TCONS_00060775:826-8895	2242.4	1544	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
980at6656	Duplicated	TCONS_00060776:498-8963	2243.2	1597	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
980at6656	Duplicated	TCONS_00061650:1254-8246	2006.6	1347	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
997at6656	Complete	TCONS_00002518:174-7337	3757.0	1835	https://www.orthodb.org/v10?query=997at6656	pre-mRNA-processing-splicing factor 8
1166at6656	Duplicated	TCONS_00014180:748-11271	2292.7	1860	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TCONS_00014181:753-11306	2293.5	1860	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TCONS_00018671:1-10143	2253.0	1821	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TCONS_00021333:730-11145	2293.0	1860	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TCONS_00024063:990-11243	2245.9	1734	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1166at6656	Duplicated	TCONS_00027061:0-10106	2250.4	1817	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
